name,reference
Ἄβα Ἀτραπάτου,"12.801.1"
Φλαβία Ἀντωνία Ἀβασκαντεῖνα,"12.508.7"
Ἀβελκίου,"15.363.22"
Ἀγ̣αθημέρου,"12.30.4"
Τιβέριον Κλαύδιον Τιβερίου Κλαυδίου Ἀγαθαγγέλου,"12.716.1"
Ἀγαθᾶ_Εὐθύμου,"3.4.i.3"
Ἀγαθίνου_Εὐστοχίου,"15.340.5"
Ἀγαθόποδος,"12.26.c.22"
Ἀγαθόποδος,"12.213.a.6"
Ἀγαθόποδος,"12.915.1"
Ἀγαθόποδος,"15.246.8"
Ἀγαθόποδος Μα···,"13.147.1"
Ἀγαθόποδος_Ἀρτεμιδώρου,"12.215.4"
Ἀγαθόπποδα,"15.246.7"
Μάρκου Αὐρηλίου Ἀγαθόποδος,"12.805.5"
Μάρκου Αὐρηλίου Ἀγαθόποδος_Ἀγαθόποδος,"12.805.1"
Μάρκου Αὐρηλίου Ἀγαθόποδος_Ἀγαθόποδος,"12.805.1"
Ἀγαθοῦ,"12.409.3"
Ἀθηναγόραν Ἀγαθὸν Τίτου Σαλλουστίου Τίτου Φλαβίου Ἀθηναγόρου,"12.646.iii.3"
Τίτος Φλάβιος Ἀθηναγόρας Ἀγαθὸς,"5.212.7"
Φλαβίου Ἀθηναγόρου Ἀγαθοῦ,"12.646.i.14"
Ἀγάθωπος,"8.60.8.i.1"
Ἀγαπωμενοῦ_Φημιδου,"13.137.1"
Ἀγέλαον Μενεσθέως,"12.309.15a"
Ἀγελάου,"5.10.i.3"
Ἀγελάου,"12.519.2"
Ἀγελάου_Μενεσθέως,"12.309.6"
Ἀντώνιον Καρμίνιον Ποπίλιον Ἀγέλαον,"15.364.15"
Μᾶρκος Ἀντώνιος Ποπίλλιος Ἀγέλαος,"12.807.3"
Μάρκου Ἀντωνίου Ἀγελάου,"12.414.10"
Ἀγλαία,"12.7.1"
Κλαυδίῳ Ἀγριππείνῳ,"8.34.15"
Κλαυδίῳ Ἀγριππείνῷ,"11.412.25"
Ἀγροίταν Καλλικράτους,"2.506.6"
Μελίτωνα Μελίτωνος_Ἀγροίταν,"1.182.a.3"
Ἀδόλιος ἰσικιάριος,"11.55.b.51"
Ἀδραστ···,"2.525.i.5"
Ἄδραστον,"15.245.7"
Ἄδραστον Ἀδράστου,"12.202.5"
Ἄδραστον Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος Ἱέρακος,"12.308.4"
Ἄδραστον Νικοτίμου_Ἀρτεμιδώρρου_Ζήνωνος Ἱέρακος,"12.4.1"
Ἄδραστος,"11.16.7"
Ἄδραστός,"12.1113.6"
Ἄδραστος,"14.7.1"
Ἄδραστος Ἀδράστου_Ἀπολλωνίου_Ἀνδρῶνος Ἀττάλου,"4.201.9"
Ἄδραστος Ἀπολλωνίου_Ὑψικλέους_Μενάνδρου_Ζήνωνος,"12.314.3"
Ἄδραστος Νικοτίμου,"12.5.20"
Ἀδράστου,"3.4.i.7"
Ἀδράστου,"5.6.13"
Ἀδράστου,"5.108.11"
Ἀδράστου,"5.109.9"
Ἀδράστου,"8.2.b.i.3"
Ἀδράστου,"10.31.E.1"
Ἀδράστου,"11.10.2"
Ἀδράστου,"11.215.3"
Ἀδράστου,"11.508.i.3"
Ἀδράστου,"12.201.4"
Ἀδράστου,"12.202.5"
Ἀδράστου,"12.205.ii.27"
Ἀδράστου,"12.207.3"
Ἀδράστου,"12.405.1"
Ἀδράστου,"12.507.2"
Ἀδράστου,"12.527.5"
Ἀδράστου,"12.917.7"
Ἀδράστου,"12.1007.18"
Ἀδράστου,"13.102.ii.2"
Ἀδράστου,"13.143.i.2"
Ἀδράστοῦ,"13.149.6"
Ἀδράστου,"13.149.13"
Ἀδράστου,"14.7.3"
Ἀδράστου,"14.17.6"
Ἀδράστου Ἱέρακος,"13.109.a.23"
Ἀδράστου Μόλωνος Μύωνος Ἀδράστου,"11.508.i.3"
Ἀδράστου Νικοτίμου Ἱέρακος,"1.504.i.3"
Ἀδράστου Σαλβίου,"13.150.2"
Ἀδράστου_Ζήνωνος,"12.525.6"
Ἀδράστου_Ἀδράστου,"13.149.12"
Ἀδράστου_Ἀδράστου_Ἀπολλωνίου,"11.31.8"
Ἀδράστου_Ἀλεξάνδρου_φύσει δὲ Κρατέρου_Καλλικράτους,"12.1113.3"
Ἀδράστου_Ἀπολλωνίου,"11.31.8"
Ἀδράστου_Ἀπολλωνίου,"12.314.7"
Ἀδράστου_Ἀπολλωνίου,"12.803.a.10"
Ἀδράστου_Ἀπολλωνίου_Ἀνδρῶνος Ἀττάλου,"4.201.10"
Ἀδράστου_Ἀπολλωνίου_Δημητρίου,"13.201.i.a.3"
Ἀδράστου_Ἀρτεμιδώρου,"12.528.4"
Ἀδράστου_Γλύκωνος_Γλύκωνος_Λέοντος_Ἑκατόμνονος Πολυχρονίου,"15.245.1"
Ἀδράστου_Διονυσίου,"12.404.ii.1"
Ἀδράστου_Διονυσίου Δινομάχου,"5.2.ii.1"
Ἀδράστου_Διονυσίου Δινομάχου,"5.2.iv.1"
Ἀδράστου_Διονυσίου_Δινομάχου,"5.2.i.1"
Ἀδράστου_Διονυσίου_Δινομάχου,"5.2.iii.1"
Ἀδράστου_Διονυσίου_Περίτου,"11.508.i.2"
Ἀδράστου_Διονυσίου_Περίτου,"11.508.ii.20"
Ἀδράστου_Καλλίππου_Πολυδεύκους,"13.404.2"
Ἀδράστου_Μόλωνος,"1.4.5"
Ἀδράστου_Μόλωνος,"1.5.6"
Ἀδράστου_Μόλωνος,"1.6.6"
Ἀδράστου_Μόλωνος,"11.508.ii.21"
Ἀδράστου_Νικοτίμου_Ἀρτεμιδόρου_Ζήνωνος Ἱέρακος,"12.5.12"
Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος,"12.205.i.7"
Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος,"12.26.a.1"
Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος,"12.1007.19"
Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος Ἱέρακος,"12.26.d.7"
Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος Ἱέρακος Ἄδραστος,"12.26.e.6"
Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος Ἱέρακος Ἄδραστος,"12.26.e.8"
Ἀδράστου_Περείτου Γρύπου,"4.308.a.6"
Ἄτταλος Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος Ἱέρακος Ἄδραστος,"12.26.a.4"
Ἄτταλος Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος Ἱέρακος Ἄδραστος,"12.26.d.10"
Ἄτταλος Ἀδράστου_Νικοτίμου_Ἀρτεμιδώρου_Ζήνωνος Ἱέρακος Ἄδραστος,"12.1007.20"
Ἀττάλου Ἀδράστου_Νικοτίμου,"12.1205.14"
Ἀττάλου_Ἀδράστου,"1.123.3"
Γάϊον Ἰούλιον Ἀδράστου,"12.105.4"
Κλαυδίου Ἀδράστου,"15.330.13"
Κλαυδίου Ἀδράστου,"15.330.28"
Λεοντέως_Ἀδράστου,"11.105.7"
Μάρκου Αὐρηλείου Ἀδράστου_Δειομήδους τρὶς_Ἀρτεμειδώρου,"8.904.4"
Τίτου Αἰλίου Ἀδράστου,"11.223.10"
Ὑψικλέους_Ἀδράστου Ἱέρακος,"13.101.14"
Ἀδρι···,"1.128.5"
Μενίππου Ἀετίου,"1.158.30"
Οὐλπίου Κλαυδίου Αὐρηλίου Μενίππου Ἀετίου,"1.158.25"
Ἀθανάσιος,"8.263.a.1"
Ἀθανάσιος,"8.263.b.1"
Ἀθανάσιος,"15.356.a.4"
Ἀθανασίου,"8.60.9.ii.1"
Ἀθηναγόραν Ἀγαθὸν Τίτου Σαλλουστίου Τίτου Φλαβίου Ἀθηναγόρου,"12.646.iii.3"
Ἀθηναγόραν Ἀθηναγόρου_Εὐμάχου,"13.302.ii.3"
Ἀθηναγόρας,"13.203.b.7"
Ἀθηναγορας Ἀθηναγόρου_Εὐμάχου_Διογένους,"12.705.5"
Ἀθηναγόρας τέκτων,"11.55.b.60"
Ἀθηναγόρου,"11.8.3"
Ἀθηναγόρου,"11.55.b.56"
Ἀθηναγόρου,"12.31.2"
Ἀθηναγόρου,"12.410.3"
Ἀθηναγόρου,"12.610.3"
Ἀθηναγόρου,"13.203.b.5"
Ἀθηναγόρου,"13.302.ii.3"
Ἀθηναγόρου,"13.302.iii.3"
Ἀθηναγόρου τετράκι_Μενάνδρου,"13.151.4"
Ἀθηναγόρου_Ἀθηναγόρου,"13.302.iii.2"
Ἀθηναγόρου_Ἀθηναγόρου τετράκι_Μενάνδρου,"13.151.3"
Ἀθηναγόρου_Ἀθηναγόρου_Εὐμάχου,"1.4.1"
Ἀθηναγόρου_Ἀθηναγόρου_Εὐμάχου,"1.5.1"
Ἀθηναγόρου_Ἀθηναγόρου_Εὐμάχου,"1.6.1"
Ἀθηναγόρου_Ἀν··· ···ρέου,"11.107.1"
Ἀθηναγόρου_Εὐμάχου,"1.4.2"
Ἀθηναγόρου_Εὐμάχου,"1.5.2"
Ἀθηναγόρου_Εὐμάχου,"1.6.2"
Ἀθηναγόρου_Εὐμάχου,"12.609.8"
Ἀθηναγόρου_Εὐμάχου_Διογένους,"12.705.5"
Ἀθηναγόρου_Εὐπολέμου,"13.203.b.3"
Ἀθηναγόρου ···_··· Μενίππου,"5.206.i.1"
Ἀθηναγόρου_Μενίππου,"5.206.ii.1"
Ἀθηναγόρου_Μηνοδότου Κασταίου,"12.801.2"
Ἀθηναγόρ···_Εὐμάχου,"2.301.1"
Ἀντώνιος Ἀθη ··· ν αγόρας,"13.156.2"
Καρμινίου Ἀθηναγόρου,"12.1018.9"
Καρμινίου Ἀθηναγόρου,"12.1018.15"
Καρμινίου Ἀθηναγόρου,"12.1111.9"
Καρμινίων Ἀθηναγόρου,"12.1111.10"
Μᾶρκον Φλάβιον Καρμίνιον Ἀθηναγόραν Λειουιανόν,"12.1018.2"
Μάρκου Αὐρηλίου Ἀθηναγόρου_Εὐδάμου τρὶς_Φίλωνος,"13.203.b.2"
Σεβαστοῦ υἱὸν Ἀθηναγόραν,"12.646.ii.7"
Τίτος Φλάβιος Ἀθηναγόρας Ἀγαθὸς,"5.212.6"
Τίτου Φλαβίου Ἀθηναγόρου,"12.646.iii.5"
Τίτου Φλαβίου Ἀθηναγόρου Κλαυδιανοῦ,"12.646.iii.8"
Φλάβιον Καρμίνιον Ἀθηναγόραν,"8.709.2"
Φλαβίου Ἀθηναγόρου,"12.646.i.10"
Φλαβίου Ἀθηναγόρου,"12.646.ii.4"
Φλαβίου Ἀθηναγόρου,"12.1111.7"
Φλαβίου Ἀθηναγόρου Ἀγα θοῦ,"12.646.i.13"
Φλάβιος Ἀθήνεος,"8.410.8"
Ἀθηνίων Αἰλιανοῦ,"11.55.b.42"
Ἀθίκτῳ,"12.1004.1"
Αἰλία Ἀντωνία Νείκη,"11.38.2"
Αἰλίαν Ἰουλίαν Ἀπφίαν,"12.1210.2"
Αἰλίαν Λαιβίλλαν,"12.533.1"
Αἰλίας Ζήνωνος θυγατρὸς Τατίας,"12.411.6"
Αἰλίας Κλαύδίας,"12.1105.1"
Αἰλία Χαιρέου θυγάτηρ Τατία Παυλεῖ ν α,"12.523.3"
Ποπλίας Αἰλίας Ἀδράστου θυγατρὸς Ἀτταλίδος Σαβείνης,"12.1007.18"
Ποπλίας Αἰλίας Ἀτταλίδος Σαβείνης,"12.631.10"
Σεπτιμία Αιλία Φλα ··· ι Λαιβίλλα,"12.533.11"
Αἰλίων Ἀμμίας,"13.103.2"
Φλαβίας Ἀτταλίδος Αἰλιανῆς,"5.212.3"
Αἰλια ··· ν ὸς,"11.34.8"
Αἰλιανὸς,"11.55.b.30"
Αἰλιανὸς Αἰλιανοῦ,"11.55.b.29"
Αἰλιανοῦ,"8.602.1"
Αἰλιανοῦ,"10.11.L.1"
Αἰλιανοῦ,"11.55.b.29"
Αἰλιανοῦ,"11.55.b.42"
Αἴλιον Α Αὐρήλιον Ἀμμιανὸν Παπίαν υἱὸν Μ. Αἴλιον Αὐρήλιον Ἀμμιανοῦ_Παπίου_Παπίου_Μαρίωνος_Δημητρίου_Ἀντιόχου Γλύκωνος,"12.21.2"
Αἴλιον Αὐρήλιον Αμμιανὸν Παυλεῖνον υἱὸν Αιλίου Αὐρηλίου Παπίου Τατιανοῦ,"12.22.6"
Αἴλιον Αὐρήλιον Μένανδρον,"12.920.ii.b.3"
Αἴλιον Κλαύδιον ··· Ἀγ̣αθημέρου,"12.30.3"
Αἴλιος,"6.101.1"
Αἴλιος Αὐρήλιος Μένανδρος,"12.920.i.a.9"
Αἴλιος Ἐπαφρόδειτος,"12.411.8"
Αἴλιος Ἡλιόδωρος,"11.46.3"
Αἴλιος Καλλικράτης,"8.103.8"
Αἰλίου ΑΙ ···,"11.60.23"
Αἰλίου Αὐρηλίου Παπίου Τατιανοῦ,"12.21.28"
Αιλίου Αὐρηλίου Παπίου Τατιανοῦ,"12.22.8"
Αἰλίου Βενουσίνου,"8.255.1"
Αἰλίου Ζωτικοῦ,"2.312.2"
Αἰλίου Κλαυδίου Διογένους,"12.27.iii.15"
Αἰλίου Κλαυδίου Φιλήτου,"12.1105.1"
Μ. Αἴλιον Αὐρήλιον Ἀμμιανοῦ_Παπίου_Παπίου_Μαρίωνος_Δημητρίου_Ἀντιόχου Γλύκωνος,"12.21.4"
Μᾶρκος Αἴλιος,"15.281.5"
Μάρκου Αὐρηλίου Αἰλίου Ἀντωνίου Βενουσείνου Διογένους_Σολωνος,"5.204.ι.26"
Πόπλιον Αἴλιον Ἱλαριανὸν,"12.17"
Πόπλιον Αἴλιον Ἱλαριανὸν,"12.535.1"
Πόπλιον Αἴλιον Σεπτίμιον Μάννον,"6.103.1"
Πόπλιος Αἴλιος Ἀπολλωνιανὸς,"12.17.12"
Πόπλιος Αἴλιος Ἄτταλος,"2.308.7"
Πόπλιος Αἴλιος Αὐρήλιος,"12.1016.5"
Πόπλιος Αἴλιος Αὐρήλιος Ἀ···,"12.1016.6"
Πόπλιος Αἴλιος Κλαύδιος Σμάραγδος Ἰουλιανὸς,"2.308.5"
Ποπλίου Αἰλίου Ἀπολλωνιανοῦ,"12.535.4"
Ποπλίου Αἰλίου Ἀπολλωνιανοῦ πρειμοπειλαρίου υἱὸν Ποπλίου Αἰλίου Ἱλαριανοῦ,"12.17.2"
Ποπλίου Αἰλίου Αὐρηλίου,"12.1016.2"
Ποπλίου Αἰλίου Ἱλαριανοῦ,"12.17.6"
